GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2003,2003,2003,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,291595.0,291 595,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,880.0,880,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,95.0,95,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2009,2009,2009,SEAR,South-East Asia,BGD,Bangladesh,,,,91.0,91,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2022,2022,2022,SEAR,South-East Asia,BGD,Bangladesh,,,,27.0,27,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,65.0,65,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,2.8,2.8,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2009,2009,2009,SEAR,South-East Asia,BGD,Bangladesh,,,,160875.0,160 875,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,89.0,89,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2006,2006,2006,SEAR,South-East Asia,BGD,Bangladesh,,,,0.24,0.24 [0.12-0.4],0.12,0.4
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2024,2024,2024,SEAR,South-East Asia,BGD,Bangladesh,,,,100.0,100,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2007,2007,2007,SEAR,South-East Asia,BGD,Bangladesh,,,,90.0,90,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,15.0,15,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,379000.0,379 000 [276 000-499 000],276000.0,499000.0
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,1484.0,1484,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2010,2010,2010,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,49.0,49,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,9.6,9.6,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2013,2013,2013,SEAR,South-East Asia,BGD,Bangladesh,,,,1024.0,1024,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,680.0,680 [340-1100],340.0,1100.0
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2022,2022,2022,SEAR,South-East Asia,BGD,Bangladesh,,,,1350.0,1350,,
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-xdr-tb-cases,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,63.0,63,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,95.0,95,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,74.0,74 [56-100],56.0,100.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2008,2008,2008,SEAR,South-East Asia,BGD,Bangladesh,,,,54.0,54,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,954.0,954,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,1228.0,1228,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,80.0,80 [61-110],61.0,110.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,81.0,81,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,267143.0,267 143,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,901.0,901,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,513.0,513,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2003,2003,2003,SEAR,South-East Asia,BGD,Bangladesh,,,,0.13,0.13 [0.07-0.21],0.07,0.21
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,1.8,1.8,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2000,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,,,,72.0,72,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2017,2017,2017,SEAR,South-East Asia,BGD,Bangladesh,,,,242639.0,242 639,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,,,,994.0,994,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2004,2004,2004,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,371000.0,371 000 [270 000-488 000],270000.0,488000.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,76.0,76,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2017,2017,2017,SEAR,South-East Asia,BGD,Bangladesh,,,,1.6,1.6,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2005,2005,2005,SEAR,South-East Asia,BGD,Bangladesh,,,,290.0,290 [150-480],150.0,480.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,,,,0.43,0.43 [0.22-0.7],0.22,0.7
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,98.0,98,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,,,,945.0,945,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,1373.0,1373,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,49.0,49 [37-68],37.0,68.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2017,2017,2017,SEAR,South-East Asia,BGD,Bangladesh,,,,0.42,0.42 [0.22-0.7],0.22,0.7
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,68.0,68,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2001,2001,2001,SEAR,South-East Asia,BGD,Bangladesh,,,,120.0,120 [59-190],59.0,190.0
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,92.0,92,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2004,2004,2004,SEAR,South-East Asia,BGD,Bangladesh,,,,316000.0,316 000 [230 000-416 000],230000.0,416000.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,85.0,85,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,0.43,0.43 [0.22-0.7],0.22,0.7
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,343000.0,343 000 [250 000-451 000],250000.0,451000.0
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,,,,93.0,93,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2004,2004,2004,SEAR,South-East Asia,BGD,Bangladesh,,,,90.0,90,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2022,2022,2022,SEAR,South-East Asia,BGD,Bangladesh,,,,1367.0,1367,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,62.0,62 [48-86],48.0,86.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2005,2005,2005,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,362000.0,362 000 [263 000-476 000],263000.0,476000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2020,2020,2020,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,27.0,27,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2017,2017,2017,SEAR,South-East Asia,BGD,Bangladesh,,,,86.0,86,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,3.3,3.3,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,59.0,59 [45-81],45.0,81.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2010,2010,2010,SEAR,South-East Asia,BGD,Bangladesh,,,,80.0,80,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,97.0,97,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,80.0,80 [61-110],61.0,110.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2024,2024,2024,SEAR,South-East Asia,BGD,Bangladesh,,,,384000.0,384 000 [279 000-505 000],279000.0,505000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2002,2002,2002,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,720.0,720 [370-1200],370.0,1200.0
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,85.0,85,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2007,2007,2007,SEAR,South-East Asia,BGD,Bangladesh,,,,327000.0,327 000 [238 000-430 000],238000.0,430000.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2007,2007,2007,SEAR,South-East Asia,BGD,Bangladesh,,,,82.0,82,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2000,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,,,,298000.0,298 000 [217 000-391 000],217000.0,391000.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2010,2010,2010,SEAR,South-East Asia,BGD,Bangladesh,,,,153892.0,153 892,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2023,2023,2023,SEAR,South-East Asia,BGD,Bangladesh,,,,221.0,221 [161-291],161.0,291.0
TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-mdr-rr-tb-incident-cases,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,4300.0,4300 [2200-6400],2200.0,6400.0
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2002,2002,2002,SEAR,South-East Asia,BGD,Bangladesh,,,,84.0,84,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2012,2012,2012,SEAR,South-East Asia,BGD,Bangladesh,,,,1.2,1.2,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,,,,1147.0,1147,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2022,2022,2022,SEAR,South-East Asia,BGD,Bangladesh,,,,730.0,730 [370-1200],370.0,1200.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,2.1,2.1,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2010,2010,2010,SEAR,South-East Asia,BGD,Bangladesh,,,,75.0,75,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,86.0,86,,
